name,author_name,author_movement,genre
Beyond the Wall of Sleep (collection),H. P. Lovecraft,Cosmicism,Horror fiction
The Shunned House,H. P. Lovecraft,Cosmicism,Horror fiction
Mr. George and Other Odd Persons,August Derleth,Cosmicism,Horror fiction
The Shadow over Innsmouth,H. P. Lovecraft,Cosmicism,Horror fiction
Fire and Sleet and Candlelight,August Derleth,Cosmicism,Horror fiction
The Dreams in the Witch House and Other Weird Stories,H. P. Lovecraft,Cosmicism,Horror fiction
The Dunwich Horror and Others,H. P. Lovecraft,Cosmicism,Horror fiction
Dark of the Moon: Poems of Fantasy and the Macabre,August Derleth,Cosmicism,Horror fiction
The Survivor and Others,August Derleth,Cosmicism,Horror fiction
The Survivor and Others,H. P. Lovecraft,Cosmicism,Horror fiction
Dagon and Other Macabre Tales,H. P. Lovecraft,Cosmicism,Horror fiction
The Dream-Quest of Unknown Kadath,H. P. Lovecraft,Cosmicism,Horror fiction
Harrigan's File,August Derleth,Cosmicism,Horror fiction
At the Mountains of Madness,H. P. Lovecraft,Cosmicism,Horror fiction
The Lair of the White Worm,Bram Stoker,Victorian literature,Horror fiction
Atom: Journey Across the Subatomic Cosmos,Isaac Asimov,Golden Age of Science Fiction,Non-fiction
Asimov's Biographical Encyclopedia of Science and Technology,Isaac Asimov,Golden Age of Science Fiction,Non-fiction
Beyond the Wall of Sleep (collection),H. P. Lovecraft,Cosmicism,Poetry
Collected Poems (H. P. Lovecraft),H. P. Lovecraft,Cosmicism,Poetry
Fire and Sleet and Candlelight,August Derleth,Cosmicism,Poetry
Dark of the Moon: Poems of Fantasy and the Macabre,August Derleth,Cosmicism,Poetry
Asimov's Biographical Encyclopedia of Science and Technology,Isaac Asimov,Golden Age of Science Fiction,Reference work
The Confidence-Man,Herman Melville,Romanticism,Satire
The Secret of the Universe,Isaac Asimov,Golden Age of Science Fiction,Science
Fifty Short Science Fiction Tales,Isaac Asimov,Golden Age of Science Fiction,Science fiction
"David Starr, Space Ranger",Isaac Asimov,Golden Age of Science Fiction,Science fiction
Fantastic Voyage II: Destination Brain,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Lucky Starr and the Big Sun of Mercury,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Lucky Starr and the Moons of Jupiter,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Lucky Starr and the Oceans of Venus,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Lucky Starr and the Pirates of the Asteroids,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Lucky Starr and the Rings of Saturn,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Nine Tomorrows,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Prelude to Foundation,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Gods Themselves,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Earth Is Room Enough,Isaac Asimov,Golden Age of Science Fiction,Science fiction
"The Stars, Like Dust",Isaac Asimov,Golden Age of Science Fiction,Science fiction
Robot Dreams,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Ugly Little Boy,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Foundation and Empire,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Before the Golden Age,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Islands in the Net,Bruce Sterling,Cyberpunk derivatives,Science fiction
T zero,Italo Calvino,Neorealism (art),Science fiction
At the Mountains of Madness and Other Novels,H. P. Lovecraft,Cosmicism,Science fiction
Far Boundaries,August Derleth,Cosmicism,Science fiction
New Worlds for Old (Derleth),August Derleth,Cosmicism,Science fiction
The Shadow Out of Time,H. P. Lovecraft,Cosmicism,Science fiction
Beyond the Wall of Sleep (collection),H. P. Lovecraft,Cosmicism,Science fiction
New Horizons (book),August Derleth,Cosmicism,Science fiction
A Praed Street Dossier,August Derleth,Cosmicism,Science fiction
Strange Ports of Call,August Derleth,Cosmicism,Science fiction
Portals of Tomorrow,August Derleth,Cosmicism,Science fiction
The Dreams in the Witch House and Other Weird Stories,H. P. Lovecraft,Cosmicism,Science fiction
The Dunwich Horror and Others,H. P. Lovecraft,Cosmicism,Science fiction
Dagon and Other Macabre Tales,H. P. Lovecraft,Cosmicism,Science fiction
The Other Side of the Moon (anthology),August Derleth,Cosmicism,Science fiction
From Other Worlds,August Derleth,Cosmicism,Science fiction
Harrigan's File,August Derleth,Cosmicism,Science fiction
At the Mountains of Madness,H. P. Lovecraft,Cosmicism,Science fiction
Islands in the Net,Bruce Sterling,Cyberpunk,Science fiction
The Nitrogen Fix,Hal Clement,Hard science fiction,Science fiction
The Disaster Area,J. G. Ballard,New Wave science fiction,Science fiction
Myths of the Near Future,J. G. Ballard,New Wave science fiction,Science fiction
The Terminal Beach,J. G. Ballard,New Wave science fiction,Science fiction
Chronopolis and Other Stories,J. G. Ballard,New Wave science fiction,Science fiction
Cocaine Nights,J. G. Ballard,New Wave science fiction,Science fiction
The Best of Frank Herbert,Frank Herbert,New Wave science fiction,Science fiction
The Book of Frank Herbert,Frank Herbert,New Wave science fiction,Science fiction
The Priests of Psi,Frank Herbert,New Wave science fiction,Science fiction
The Worlds of Frank Herbert,Frank Herbert,New Wave science fiction,Science fiction
Passport to Eternity,J. G. Ballard,New Wave science fiction,Science fiction
The Impossible Man,J. G. Ballard,New Wave science fiction,Science fiction
T zero,Italo Calvino,Postmodernism,Science fiction
The Child Garden,Geoff Ryman,Mundane science fiction,Science fiction
The Deadly Streets,Harlan Ellison,New Wave science fiction,Short story
Angry Candy,Harlan Ellison,New Wave science fiction,Short story
Mind Fields,Harlan Ellison,New Wave science fiction,Short story
Dune (novel),Frank Herbert,New Wave science fiction,Soft science fiction
Canne al vento,Grazia Deledda,Decadent movement,Novel
"A, A Novel",Andy Warhol,Pop art,Novel
Rushing to Paradise,J. G. Ballard,New Wave science fiction,Novel
High Rise (novel),J. G. Ballard,New Wave science fiction,Novel
253 (novel),Geoff Ryman,Mundane science fiction,Novel
Canne al vento,Grazia Deledda,Literary realism,Novel
The Eternal Husband,Fyodor Dostoyevsky,Literary realism,Novel
The Kindness of Women,J. G. Ballard,New Wave science fiction,Autobiographical novel
The Curse of Lono,Hunter S. Thompson,New Journalism,Memoir
The Atrocity Exhibition,J. G. Ballard,New Wave science fiction,Experimental literature
At the Mountains of Madness,H. P. Lovecraft,Cosmicism,Lost World (genre)
Agnes Grey,Anne Bront�,Realism (arts),Victorian literature
Tales of the Black Widowers,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
Puzzles of the Black Widowers,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
Sentimental Education,Gustave Flaubert,Romanticism,Realism (arts)
Sentimental Education,Gustave Flaubert,Realism (arts),Realism (arts)
God Emperor of Dune,Frank Herbert,New Wave science fiction,Adventure fiction
Angels' Fall,Frank Herbert,New Wave science fiction,Adventure fiction
Billy Budd,Herman Melville,Romanticism,Adventure fiction
Israel Potter,Herman Melville,Romanticism,Adventure fiction
Moby-Dick,Herman Melville,Romanticism,Adventure fiction
God Emperor of Dune,Frank Herbert,New Wave science fiction,Political thriller
God Emperor of Dune,Frank Herbert,New Wave science fiction,Psychological thriller
An Apology for the Life of Mrs. Shamela Andrews,Henry Fielding,Age of Enlightenment,Parody
Typee,Herman Melville,Romanticism,Travel literature
God Emperor of Dune,Frank Herbert,New Wave science fiction,Conspiracy fiction
Billy Budd,Herman Melville,Romanticism,Nautical fiction
Moby-Dick,Herman Melville,Romanticism,Nautical fiction
Over the Edge (anthology),August Derleth,Cosmicism,Fantasy
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,Cosmicism,Fantasy
Colonel Markesan and Less Pleasant People,August Derleth,Cosmicism,Fantasy
Not Long for this World,August Derleth,Cosmicism,Fantasy
The Trail of Cthulhu,August Derleth,Cosmicism,Fantasy
Someone in the Dark,August Derleth,Cosmicism,Fantasy
The Horror in the Museum and Other Revisions,H. P. Lovecraft,Cosmicism,Fantasy
The Doom that Came to Sarnath and Other Stories,H. P. Lovecraft,Cosmicism,Fantasy
The Mask of Cthulhu,August Derleth,Cosmicism,Fantasy
The Thing on the Doorstep and Other Weird Stories,H. P. Lovecraft,Cosmicism,Fantasy
Sleep No More (anthology),August Derleth,Cosmicism,Fantasy
The Dark Brotherhood and Other Pieces,H. P. Lovecraft,Cosmicism,Fantasy
Dwellers in Darkness,August Derleth,Cosmicism,Fantasy
Lonesome Places,August Derleth,Cosmicism,Fantasy
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Fantasy
The Overloaded Man,J. G. Ballard,New Wave science fiction,Fantasy
God Emperor of Dune,Frank Herbert,New Wave science fiction,Fantasy
Foundation's Edge,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
The Robots of Dawn,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
Pebble in the Sky,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
Schismatrix,Bruce Sterling,Cyberpunk derivatives,List of science fiction novels
Schismatrix,Bruce Sterling,Cyberpunk,List of science fiction novels
Needle (novel),Hal Clement,Hard science fiction,List of science fiction novels
Iceworld,Hal Clement,Hard science fiction,List of science fiction novels
The Green Brain,Frank Herbert,New Wave science fiction,List of science fiction novels
The Heaven Makers,Frank Herbert,New Wave science fiction,List of science fiction novels
Children of Dune,Frank Herbert,New Wave science fiction,List of science fiction novels
Hello America,J. G. Ballard,New Wave science fiction,List of science fiction novels
Heretics of Dune,Frank Herbert,New Wave science fiction,List of science fiction novels
The Road to Dune,Frank Herbert,New Wave science fiction,List of science fiction novels
The Santaroga Barrier,Frank Herbert,New Wave science fiction,List of science fiction novels
Chapterhouse: Dune,Frank Herbert,New Wave science fiction,List of science fiction novels
Dune Messiah,Frank Herbert,New Wave science fiction,List of science fiction novels
Direct Descent,Frank Herbert,New Wave science fiction,List of science fiction novels
Crash (J. G. Ballard novel),J. G. Ballard,New Wave science fiction,Postmodern literature
God Emperor of Dune,Frank Herbert,New Wave science fiction,Planetary romance
The Dragon in the Sea,Frank Herbert,New Wave science fiction,Thriller (genre)
Angels' Fall,Frank Herbert,New Wave science fiction,Thriller (genre)
Atop an Underwood: Early Stories and Other Writings,Jack Kerouac,Beat Generation,Short story collection
Crash (J. G. Ballard novel),J. G. Ballard,New Wave science fiction,Transgressive fiction
Empire of the Sun,J. G. Ballard,New Wave science fiction,War novel
Concrete Island,J. G. Ballard,New Wave science fiction,Fiction
The Difference Engine,Bruce Sterling,Cyberpunk derivatives,Alternate history
The Difference Engine,Bruce Sterling,Cyberpunk,Alternate history
Mirrorshades,Bruce Sterling,Cyberpunk derivatives,Cyberpunk
Mirrorshades,Bruce Sterling,Cyberpunk,Cyberpunk
The Original Text Solar Pons Omnibus Edition,August Derleth,Cosmicism,Detective fiction
The Return of Solar Pons,August Derleth,Cosmicism,Detective fiction
The Memoirs of Solar Pons,August Derleth,Cosmicism,Detective fiction
The Dark Brotherhood and Other Pieces,H. P. Lovecraft,Cosmicism,Essay
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Essay
Good Blonde & Others,Jack Kerouac,Beat Generation,Essay
Wuthering Heights,Emily Bront�,Romanticism,Gothic fiction
Dracula,Bram Stoker,Victorian literature,Gothic fiction
Mission of Gravity,Hal Clement,Hard science fiction,Hard science fiction
Over the Edge (anthology),August Derleth,Cosmicism,Horror fiction
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,Cosmicism,Horror fiction
Colonel Markesan and Less Pleasant People,August Derleth,Cosmicism,Horror fiction
Not Long for this World,August Derleth,Cosmicism,Horror fiction
The Trail of Cthulhu,August Derleth,Cosmicism,Horror fiction
Someone in the Dark,August Derleth,Cosmicism,Horror fiction
The Horror in the Museum and Other Revisions,H. P. Lovecraft,Cosmicism,Horror fiction
The Mask of Cthulhu,August Derleth,Cosmicism,Horror fiction
The Thing on the Doorstep and Other Weird Stories,H. P. Lovecraft,Cosmicism,Horror fiction
The Dark Brotherhood and Other Pieces,H. P. Lovecraft,Cosmicism,Horror fiction
Dwellers in Darkness,August Derleth,Cosmicism,Horror fiction
Lonesome Places,August Derleth,Cosmicism,Horror fiction
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Horror fiction
Dracula,Bram Stoker,Victorian literature,Horror fiction
Selected Letters of H. P. Lovecraft I (1911�1924),H. P. Lovecraft,Cosmicism,Letter (message)
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Poetry
Book of Sketches,Jack Kerouac,Beat Generation,Poetry
Nightfall (Asimov short story and novel),Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Edge of Tomorrow (1985 book),Isaac Asimov,Golden Age of Science Fiction,Science fiction
Robot Visions,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Naked Sun,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Bicentennial Man and Other Stories,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Forward the Foundation,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Asimov Chronicles: Fifty Years of Isaac Asimov,Isaac Asimov,Golden Age of Science Fiction,Science fiction
"I, Robot",Isaac Asimov,Golden Age of Science Fiction,Science fiction
Heavy Weather (Sterling novel),Bruce Sterling,Cyberpunk derivatives,Science fiction
The Zenith Angle,Bruce Sterling,Cyberpunk derivatives,Science fiction
Cosmicomics,Italo Calvino,Neorealism (art),Science fiction
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,Cosmicism,Science fiction
The Original Text Solar Pons Omnibus Edition,August Derleth,Cosmicism,Science fiction
The Horror in the Museum and Other Revisions,H. P. Lovecraft,Cosmicism,Science fiction
Beyond Time and Space,August Derleth,Cosmicism,Science fiction
The Thing on the Doorstep and Other Weird Stories,H. P. Lovecraft,Cosmicism,Science fiction
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Science fiction
Heavy Weather (Sterling novel),Bruce Sterling,Cyberpunk,Science fiction
The Zenith Angle,Bruce Sterling,Cyberpunk,Science fiction
Star Light,Hal Clement,Hard science fiction,Science fiction
Close to Critical,Hal Clement,Hard science fiction,Science fiction
The White Plague,Frank Herbert,New Wave science fiction,Science fiction
The Four-Dimensional Nightmare,J. G. Ballard,New Wave science fiction,Science fiction
The Overloaded Man,J. G. Ballard,New Wave science fiction,Science fiction
God Emperor of Dune,Frank Herbert,New Wave science fiction,Science fiction
The Collected Stories of Frank Herbert,Frank Herbert,New Wave science fiction,Science fiction
Cosmicomics,Italo Calvino,Postmodernism,Science fiction
The Dark Brotherhood and Other Pieces,H. P. Lovecraft,Cosmicism,Short story
The Beast that Shouted Love at the Heart of the World,Harlan Ellison,New Wave science fiction,Short story
Slippage (book),Harlan Ellison,New Wave science fiction,Short story
Snowbound: The Record of a Theatrical Touring Party,Bram Stoker,Victorian literature,Short story
Good Blonde & Others,Jack Kerouac,Beat Generation,Short story
The Difference Engine,Bruce Sterling,Cyberpunk derivatives,Steampunk
The Difference Engine,Bruce Sterling,Cyberpunk,Steampunk
The Process (novel),Brion Gysin,Postmodernism,Novel
Moby-Dick,Herman Melville,Romanticism,Novel
Doctor Sax,Jack Kerouac,Beat Generation,Novel
The Process (novel),Brion Gysin,Beat Generation,Novel
Orpheus Emerged,Jack Kerouac,Beat Generation,Novel
Empire of the Sun,J. G. Ballard,New Wave science fiction,Autobiographical novel
The Town and the City,Jack Kerouac,Beat Generation,Autobiographical novel
Vanity of Duluoz,Jack Kerouac,Beat Generation,Autobiographical novel
The Dark Brotherhood and Other Pieces,H. P. Lovecraft,Cosmicism,Memoir
Something About Cats and Other Pieces,H. P. Lovecraft,Cosmicism,Memoir
The Third Mind,Brion Gysin,Postmodernism,Beat Generation
Atop an Underwood: Early Stories and Other Writings,Jack Kerouac,Beat Generation,Beat Generation
Book of Sketches,Jack Kerouac,Beat Generation,Beat Generation
On the Road,Jack Kerouac,Beat Generation,Beat Generation
The Third Mind,Brion Gysin,Beat Generation,Beat Generation
Moby-Dick,Herman Melville,Romanticism,Epic (genre)
Les Fleurs du mal,Charles Baudelaire,Modernism,Lyric poetry
Asimov's Mysteries,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
The Best Mysteries of Isaac Asimov,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
Murder at the ABA,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
The Caves of Steel,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
The Naked Sun,Isaac Asimov,Golden Age of Science Fiction,Mystery fiction
The Landlady (Fyodor Dostoyevsky),Fyodor Dostoyevsky,Literary realism,Fantasy literature
The Brothers Karamazov,Fyodor Dostoyevsky,Literary realism,Philosophical fiction
Demons (Dostoyevsky novel),Fyodor Dostoyevsky,Literary realism,Philosophical fiction
The Idiot,Fyodor Dostoyevsky,Literary realism,Philosophical fiction
The House of the Dead (novel),Fyodor Dostoyevsky,Literary realism,Philosophical fiction
Crime and Punishment,Fyodor Dostoyevsky,Literary realism,Philosophical fiction
Crime and Punishment,Fyodor Dostoyevsky,Literary realism,Psychological novel
Air (novel),Geoff Ryman,Mundane science fiction,List of science fiction novels
The Landlady (Fyodor Dostoyevsky),Fyodor Dostoyevsky,Literary realism,Gothic fiction
Demons (Dostoyevsky novel),Fyodor Dostoyevsky,Literary realism,Political fiction
Good Blonde & Others,Jack Kerouac,Beat Generation,Literary criticism
The King's Last Song,Geoff Ryman,Mundane science fiction,Novel
The Gambler (novel),Fyodor Dostoyevsky,Literary realism,Novel
The House of the Dead (novel),Fyodor Dostoyevsky,Literary realism,Autobiographical novel
Les Fleurs du mal,Charles Baudelaire,Symbolism (arts),Lyric poetry
And the Hippos Were Boiled in Their Tanks,Jack Kerouac,Beat Generation,Mystery fiction
Marginalia (collection),H. P. Lovecraft,Cosmicism,Biography
Autobiography: Some Notes on a Nonentity,H. P. Lovecraft,Cosmicism,Biography
Miscellaneous Writings (Lovecraft),H. P. Lovecraft,Cosmicism,Biography
The Stone Giant,James Blaylock,Steampunk,Fantasy literature
100 Books by August Derleth,August Derleth,Cosmicism,Bibliography
"Thirty Years of Arkham House, 1939�69",August Derleth,Cosmicism,Bibliography
Redburn,Herman Melville,Romanticism,Travel literature
The Primrose Path,Bram Stoker,Victorian literature,Temperance movement
Crystal Express,Bruce Sterling,Cyberpunk derivatives,Fantasy
The Night Side,August Derleth,Cosmicism,Fantasy
The Unquiet Grave (anthology),August Derleth,Cosmicism,Fantasy
Time to Come,August Derleth,Cosmicism,Fantasy
Three Tales of Horror,H. P. Lovecraft,Cosmicism,Fantasy
Marginalia (collection),H. P. Lovecraft,Cosmicism,Fantasy
"Dark Mind, Dark Heart",August Derleth,Cosmicism,Fantasy
Dark Things,August Derleth,Cosmicism,Fantasy
Dreams and Fancies,H. P. Lovecraft,Cosmicism,Fantasy
In Lovecraft's Shadow,August Derleth,Cosmicism,Fantasy
Miscellaneous Writings (Lovecraft),H. P. Lovecraft,Cosmicism,Fantasy
Night's Yawning Peal: A Ghostly Company,August Derleth,Cosmicism,Fantasy
Something Near,August Derleth,Cosmicism,Fantasy
The Shuttered Room and Other Pieces,H. P. Lovecraft,Cosmicism,Fantasy
The Watchers Out of Time and Others,August Derleth,Cosmicism,Fantasy
The Watchers Out of Time and Others,H. P. Lovecraft,Cosmicism,Fantasy
Travellers by Night,August Derleth,Cosmicism,Fantasy
The Outsider and Others,H. P. Lovecraft,Cosmicism,Fantasy
The Sleeping and the Dead,August Derleth,Cosmicism,Fantasy
Cthulhu Mythos anthology,H. P. Lovecraft,Cosmicism,Fantasy
Crystal Express,Bruce Sterling,Cyberpunk,Fantasy
Deathbird Stories,Harlan Ellison,New Wave science fiction,Fantasy
Understanding Physics,Isaac Asimov,Golden Age of Science Fiction,Popular science
Wisconsin Murders,August Derleth,Cosmicism,True crime
The Currents of Space,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
The End of Eternity,Isaac Asimov,Golden Age of Science Fiction,List of science fiction novels
Holy Fire (novel),Bruce Sterling,Cyberpunk derivatives,List of science fiction novels
Holy Fire (novel),Bruce Sterling,Cyberpunk,List of science fiction novels
The Drowned World,J. G. Ballard,New Wave science fiction,List of science fiction novels
Man of Two Worlds,Frank Herbert,New Wave science fiction,List of science fiction novels
The Ascension Factor,Frank Herbert,New Wave science fiction,List of science fiction novels
Destination: Void,Frank Herbert,New Wave science fiction,List of science fiction novels
The Dosadi Experiment,Frank Herbert,New Wave science fiction,List of science fiction novels
Whipping Star,Frank Herbert,New Wave science fiction,List of science fiction novels
The Burning World (novel),J. G. Ballard,New Wave science fiction,List of science fiction novels
High-Opp,Frank Herbert,New Wave science fiction,List of science fiction novels
Lord Kelvin's Machine,James Blaylock,Steampunk,List of science fiction novels
The Digging Leviathan,James Blaylock,Steampunk,List of science fiction novels
The Piazza Tales,Herman Melville,Romanticism,Literary fiction
Beat Generation (play),Jack Kerouac,Beat Generation,Play (activity)
A Game of Authors,Frank Herbert,New Wave science fiction,Thriller (genre)
In Re: Sherlock Holmes,August Derleth,Cosmicism,Detective fiction
Mr. Fairlie's Final Journey,August Derleth,Cosmicism,Detective fiction
The Adventure of the Unique Dickensians,August Derleth,Cosmicism,Detective fiction
The Final Adventures of Solar Pons,August Derleth,Cosmicism,Detective fiction
The Reminiscences of Solar Pons,August Derleth,Cosmicism,Detective fiction
The Solar Pons Omnibus,August Derleth,Cosmicism,Detective fiction
Three Problems for Solar Pons,August Derleth,Cosmicism,Detective fiction
The Dragnet Solar Pons et al.,August Derleth,Cosmicism,Detective fiction
Marginalia (collection),H. P. Lovecraft,Cosmicism,Essay
Miscellaneous Writings (Lovecraft),H. P. Lovecraft,Cosmicism,Essay
The Shuttered Room and Other Pieces,H. P. Lovecraft,Cosmicism,Essay
Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,New Journalism,Gonzo journalism
Necronomicon: The Best Weird Tales of H. P. Lovecraft: Commemorative Edition,H. P. Lovecraft,Cosmicism,Horror fiction
Three Tales of Horror,H. P. Lovecraft,Cosmicism,Horror fiction
Marginalia (collection),H. P. Lovecraft,Cosmicism,Horror fiction
"Dark Mind, Dark Heart",August Derleth,Cosmicism,Horror fiction
Dark Things,August Derleth,Cosmicism,Horror fiction
Dreams and Fancies,H. P. Lovecraft,Cosmicism,Horror fiction
In Lovecraft's Shadow,August Derleth,Cosmicism,Horror fiction
Miscellaneous Writings (Lovecraft),H. P. Lovecraft,Cosmicism,Horror fiction
Night's Yawning Peal: A Ghostly Company,August Derleth,Cosmicism,Horror fiction
Something Near,August Derleth,Cosmicism,Horror fiction
The Shuttered Room and Other Pieces,H. P. Lovecraft,Cosmicism,Horror fiction
The Watchers Out of Time and Others,August Derleth,Cosmicism,Horror fiction
The Watchers Out of Time and Others,H. P. Lovecraft,Cosmicism,Horror fiction
Travellers by Night,August Derleth,Cosmicism,Horror fiction
The Outsider and Others,H. P. Lovecraft,Cosmicism,Horror fiction
Cthulhu Mythos anthology,H. P. Lovecraft,Cosmicism,Horror fiction
The Lurker at the Threshold,August Derleth,Cosmicism,Horror fiction
The Lurker at the Threshold,H. P. Lovecraft,Cosmicism,Horror fiction
The Jewel of Seven Stars,Bram Stoker,Victorian literature,Horror fiction
Dreams and Fancies,H. P. Lovecraft,Cosmicism,Letter (message)
Miscellaneous Writings (Lovecraft),H. P. Lovecraft,Cosmicism,Letter (message)
Selected Letters of H. P. Lovecraft II (1925�1929),H. P. Lovecraft,Cosmicism,Letter (message)
Door Wide Open,Jack Kerouac,Beat Generation,Letter (message)
Understanding Physics,Isaac Asimov,Golden Age of Science Fiction,Non-fiction
Selected Letters of H. P. Lovecraft III (1929�1931),H. P. Lovecraft,Cosmicism,Non-fiction
Harlan Ellison's Watching,Harlan Ellison,New Wave science fiction,Non-fiction
Marginalia (collection),H. P. Lovecraft,Cosmicism,Poetry
Old Angel Midnight,Jack Kerouac,Beat Generation,Poetry
Scattered Poems,Jack Kerouac,Beat Generation,Poetry
Book of Haikus,Jack Kerouac,Beat Generation,Poetry
If on a winter's night a traveler,Italo Calvino,Neorealism (art),Postmodernism
If on a winter's night a traveler,Italo Calvino,Postmodernism,Postmodernism
The Village of Stepanchikovo,Fyodor Dostoyevsky,Literary realism,Satire
X Stands for Unknown,Isaac Asimov,Golden Age of Science Fiction,Science
The Tragedy of the Moon,Isaac Asimov,Golden Age of Science Fiction,Science
The Rest of the Robots,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Positronic Man,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Early Asimov,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Hugo Winners,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Complete Robot,Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Martian Way and Other Stories,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Foundation (Isaac Asimov novel),Isaac Asimov,Golden Age of Science Fiction,Science fiction
Nemesis (Asimov novel),Isaac Asimov,Golden Age of Science Fiction,Science fiction
Speculations (book),Isaac Asimov,Golden Age of Science Fiction,Science fiction
The Science Fictional Olympics,Isaac Asimov,Golden Age of Science Fiction,Science fiction
Crystal Express,Bruce Sterling,Cyberpunk derivatives,Science fiction
The Caryatids,Bruce Sterling,Cyberpunk derivatives,Science fiction
The Complete Cosmicomics,Italo Calvino,Neorealism (art),Science fiction
Beachheads in Space,August Derleth,Cosmicism,Science fiction
The Outer Reaches,August Derleth,Cosmicism,Science fiction
The Time of Infinity,August Derleth,Cosmicism,Science fiction
Time to Come,August Derleth,Cosmicism,Science fiction
Worlds of Tomorrow,August Derleth,Cosmicism,Science fiction
Three Tales of Horror,H. P. Lovecraft,Cosmicism,Science fiction
Marginalia (collection),H. P. Lovecraft,Cosmicism,Science fiction
Dreams and Fancies,H. P. Lovecraft,Cosmicism,Science fiction
The Final Adventures of Solar Pons,August Derleth,Cosmicism,Science fiction
The Watchers Out of Time and Others,August Derleth,Cosmicism,Science fiction
The Watchers Out of Time and Others,H. P. Lovecraft,Cosmicism,Science fiction
The Outsider and Others,H. P. Lovecraft,Cosmicism,Science fiction
Cthulhu Mythos anthology,H. P. Lovecraft,Cosmicism,Science fiction
Crystal Express,Bruce Sterling,Cyberpunk,Science fiction
The Caryatids,Bruce Sterling,Cyberpunk,Science fiction
Small Changes,Hal Clement,Hard science fiction,Science fiction
"Again, Dangerous Visions",Harlan Ellison,New Wave science fiction,Science fiction
Dangerous Visions,Harlan Ellison,New Wave science fiction,Science fiction
Memories of the Space Age,J. G. Ballard,New Wave science fiction,Science fiction
Ellison Wonderland,Harlan Ellison,New Wave science fiction,Science fiction
Eye (short story collection),Frank Herbert,New Wave science fiction,Science fiction
The Day of Forever,J. G. Ballard,New Wave science fiction,Science fiction
The Complete Cosmicomics,Italo Calvino,Postmodernism,Science fiction
Approaching Oblivion,Harlan Ellison,New Wave science fiction,Short story
Shatterday (book),Harlan Ellison,New Wave science fiction,Short story
Paingod and Other Delusions,Harlan Ellison,New Wave science fiction,Short story
Strange Wine,Harlan Ellison,New Wave science fiction,Short story
Gentleman Junkie and Other Stories of the Hung-Up Generation,Harlan Ellison,New Wave science fiction,Short story
Alone Against Tomorrow,Harlan Ellison,New Wave science fiction,Short story
Stalking the Nightmare,Harlan Ellison,New Wave science fiction,Short story
Love Ain't Nothing But Sex Misspelled,Harlan Ellison,New Wave science fiction,Short story
The Piazza Tales,Herman Melville,Romanticism,Short story
Under the Sunset,Bram Stoker,Victorian literature,Short story
Lord Kelvin's Machine,James Blaylock,Steampunk,Steampunk
The Intelligent Man's Guide to Science,Isaac Asimov,Golden Age of Science Fiction,Natural science
The Unlimited Dream Company,J. G. Ballard,New Wave science fiction,Novel
The Crystal World,J. G. Ballard,New Wave science fiction,Novel
The Day of Creation,J. G. Ballard,New Wave science fiction,Novel
