name,author_name,author_movement,genre
What Is the What,Dave Eggers,Postmodern literature,Memoir
What Is the What,Dave Eggers,New Sincerity,Memoir
A Heartbreaking Work of Staggering Genius,Dave Eggers,Post-postmodernism,Memoir
A Heartbreaking Work of Staggering Genius,Dave Eggers,New Sincerity,Memoir
The Return of Philip Latinowicz,Miroslav Krle�a,Socialist realism,Philosophical fiction
The Return of Philip Latinowicz,Miroslav Krle�a,Expressionism,Philosophical fiction
Christie Malry's Own Double-Entry,B. S. Johnson,Modernism,Dystopia
Ballads of Petrica Kerempuh,Miroslav Krle�a,Expressionism,Philosophy
Ballads of Petrica Kerempuh,Miroslav Krle�a,Socialist realism,Philosophy
NW (novel),Zadie Smith,Realism (arts),Tragicomedy
NW (novel),Zadie Smith,Hysterical realism,Tragicomedy
NW (novel),Zadie Smith,Postmodernism,Tragicomedy
Messrs. Glembay,Miroslav Krle�a,Expressionism,Drama
